speaker	avg_en avg_zh
SPEAKER1407	0.7305403403937820	0.12529039239743700
SPEAKER1197	0.7313610874116420	0.06928892976575300
SPEAKER1418	0.7321696743369100	0.10177730190334800
SPEAKER1064	0.7351863184943800	0.011000978633819600
SPEAKER0005	0.7356692105531690	0.05697551198682050
SPEAKER9614	0.7386997991374560	0.1643506633949330
SPEAKER2441	0.7392692744731900	0.2324429946951570
SPEAKER3075	0.739783925563097	0.02679639384150510
SPEAKER8585	0.7406922816298900	0.019983847439289100
SPEAKER3423	0.7452653750777250	0.09773422430735080
SPEAKER9607	0.7515364862405340	0.12241025937971900
SPEAKER5401	0.7534304477274420	0.039820394974958600
SPEAKER6504	0.7537613030523060	0.18081239415332700
SPEAKER1109	0.7575788632035260	0.11738787065260100
SPEAKER3060	0.760343375056982	0.08423185204155740
SPEAKER1422	0.760521849989891	0.007957853308471390
SPEAKER0054	0.7617726065218450	0.019167627451679400
SPEAKER0133	0.7663941398262980	0.04085495898034420
SPEAKER5406	0.7679122671484950	0.1160548459040000
SPEAKER3088	0.7716150186955930	0.06486828845081620
SPEAKER0560	0.7775913894176480	0.056994176434818700
SPEAKER0149	0.7780485495924950	0.05635645047295840
SPEAKER0026	0.7795078814029690	0.11771831668447700
SPEAKER6401	0.7813826322555540	0.0172652855180786
SPEAKER1012	0.7831725738942620	0.015370694908779100
SPEAKER0113	0.7882540335878730	0.0014831404379947300
SPEAKER1050	0.7894807875156400	0.049516897764988200
SPEAKER1228	0.7898635029792790	0.08967661444330590
SPEAKER9608	0.7930974610473800	0.10607795571179500
SPEAKER0104	0.794925007969141	0.07510508788982410
SPEAKER1135	0.7949691653251650	0.05658097143750640
SPEAKER9034	0.7972967751324180	0.16336242564721000
SPEAKER0053	0.7986099690198900	0.07087136834743430
SPEAKER3636	0.7992380239069460	0.005546961000800370
SPEAKER2252	0.8037362568080430	0.01848354347748680
SPEAKER9553	0.8046648055315020	0.13332015464548000
SPEAKER3046	0.8069903776049610	0.04773930828087030
SPEAKER2488	0.8086214676499370	0.16407908336186700
SPEAKER5428	0.8096643388271330	0.0344027639250271
SPEAKER0092	0.8099278107285500	0.017862982043880000
SPEAKER0563	0.8120754718780520	0.10820578426355500
SPEAKER0111	0.814482887648046	0.0061356992562650700
SPEAKER0103	0.8157508313655850	0.10076502037845800
SPEAKER5424	0.8204074963927270	0.042323425854556300
SPEAKER1501	0.8232002675533290	0.02205603395414070
SPEAKER5072	0.8250862494111060	0.0787990892335074
SPEAKER9107	0.8337611466646190	0.040178635451593400
SPEAKER3021	0.8338798254728320	0.010570901419123400
SPEAKER9558	0.834084764122963	0.018791682203300300
SPEAKER1292	0.8341338008642200	0.011425770045025300
SPEAKER9630	0.8347846886207320	0.05067969492540280
SPEAKER0120	0.8351325750350950	0.03921177563606760
SPEAKER9101	0.8359955678228290	0.07185793274547910
